Ref,Val,Package,PosX,PosY,Rot,Side
"A1","ESP32-WROVER-E-N16R8","ESP32-WROVER",-39.727000,106.400000,-90.000000,bottom
"AE1","Antenna","Antenna_TI_DN038",-10.300000,16.800000,-0.000000,bottom
"C1","4.7pF","C_0402_1005Metric",-41.142000,120.700000,-90.000000,bottom
"C2","4.7pF","C_0402_1005Metric",-36.062000,120.700000,90.000000,bottom
"C3","100nF","C_0402_1005Metric",-44.852000,122.057500,90.000000,bottom
"C4","22uF","C_0603_1608Metric",-46.052000,121.507500,90.000000,bottom
"C5","100nF","C_0402_1005Metric",3.348000,129.150000,-90.000000,bottom
"C6","1uF","C_0603_1608Metric",22.708000,119.710000,-0.000000,bottom
"C7","1uF","C_0603_1608Metric",22.608000,113.910000,-0.000000,bottom
"C8","4.7uF","C_0603_1608Metric",13.248000,122.700000,90.000000,bottom
"C9","4.7uF","C_0603_1608Metric",13.248000,125.700000,-90.000000,bottom
"C10","1uF","C_0603_1608Metric",31.748000,121.400000,90.000000,bottom
"C11","100nF","C_0402_1005Metric",32.948000,120.900000,90.000000,bottom
"C12","100nF","C_0402_1005Metric",-22.452000,117.000000,90.000000,bottom
"C13","1uF","C_0603_1608Metric",-22.702000,114.600000,-90.000000,bottom
"C14","100nF","C_0402_1005Metric",-16.902000,117.850000,90.000000,bottom
"C15","1uF","C_0603_1608Metric",-18.252000,118.400000,90.000000,bottom
"C16","1uF","C_0603_1608Metric",-20.502000,117.650000,-0.000000,bottom
"C17","1uF","C_0603_1608Metric",-15.702000,118.400000,90.000000,bottom
"C18","100nF","C_0402_1005Metric",-21.404200,107.852800,-90.000000,bottom
"C19","100nF","C_0402_1005Metric",-22.452000,109.200000,-90.000000,bottom
"C20","1uF","C_0603_1608Metric",-20.134200,107.598800,-90.000000,bottom
"C21","1uF","C_0603_1608Metric",-22.702000,111.600000,90.000000,bottom
"C22","1uF","C_0603_1608Metric",-13.327000,112.323200,180.000000,bottom
"C23","1uF","C_0603_1608Metric",-13.327000,110.850000,180.000000,bottom
"C24","1uF","C_0603_1608Metric",-13.327000,113.821800,180.000000,bottom
"C25","1uF","C_0603_1608Metric",-13.327000,115.295000,180.000000,bottom
"C26","1uF","C_0603_1608Metric",-8.888800,109.062200,-90.000000,bottom
"C27","1uF","C_0603_1608Metric",-10.362000,109.062200,-90.000000,bottom
"C28","1uF","C_0603_1608Metric",-6.452000,113.913600,90.000000,bottom
"C29","1uF","C_0603_1608Metric",-6.452000,110.950000,90.000000,bottom
"C30","1uF","C_0603_1608Metric",-8.369200,116.690200,-90.000000,bottom
"C31","100nF","C_0402_1005Metric",-46.052000,81.007500,-90.000000,bottom
"C32","100nF","C_0402_1005Metric",-37.302000,45.907500,90.000000,bottom
"C33","100nF","C_0402_1005Metric",-19.502000,19.457500,-90.000000,bottom
"C34","100nF","C_0402_1005Metric",19.448000,21.207500,90.000000,bottom
"C35","100nF","C_0402_1005Metric",36.198000,47.157500,90.000000,bottom
"C36","100nF","C_0402_1005Metric",46.148000,80.357500,90.000000,bottom
"C37","22uF","C_0603_1608Metric",36.598000,95.300000,90.000000,bottom
"C38","100nF","C_0402_1005Metric",-32.452000,86.050000,-0.000000,bottom
"C39","100nF","C_0402_1005Metric",17.248000,86.050000,-0.000000,bottom
"C40","100nF","C_0402_1005Metric",-21.202000,86.050000,-0.000000,bottom
"C41","DNP","C_0402_1005Metric",-29.328968,27.581969,-45.000000,bottom
"C42","15pF","C_0402_1005Metric",-27.937489,26.173449,135.000000,bottom
"C43","15pF","C_0402_1005Metric",-29.073410,30.368446,45.000000,bottom
"C44","1.5nF","C_0402_1005Metric",-19.886627,23.606793,-45.000000,bottom
"C45","10nF","C_0402_1005Metric",-11.355384,31.742905,45.000000,bottom
"C46","100pF","C_0402_1005Metric",-12.127686,32.515207,45.000000,bottom
"C47","33pF","C_0402_1005Metric",-12.756304,30.341985,-135.000000,bottom
"C48","47nF","C_0402_1005Metric",-23.622414,25.043634,-135.000000,bottom
"C49","3.3pF","C_0402_1005Metric",-16.452000,24.550000,-45.000000,bottom
"C50","15pF","C_0402_1005Metric",-14.372750,28.725539,-135.000000,bottom
"C51","47nF","C_0402_1005Metric",-18.324063,23.660674,-45.000000,bottom
"C52","1pF","C_0402_1005Metric",-12.289331,28.797381,135.000000,bottom
"C53","47nF","C_0402_1005Metric",-24.664124,25.797975,-135.000000,bottom
"C54","3.3pF","C_0402_1005Metric",-15.073210,25.905738,-45.000000,bottom
"C55","2.2pF","C_0402_1005Metric",-12.352000,26.757500,45.000000,bottom
"C56","47nF","C_0402_1005Metric",-21.202000,23.600000,-45.000000,bottom
"C57","47nF","C_0402_1005Metric",-26.627148,25.199950,-135.000000,bottom
"C58","3pF","C_0402_1005Metric",-11.002000,29.457500,-135.000000,bottom
"C59","47nF","C_0402_1005Metric",-15.710808,30.386886,45.000000,bottom
"C60","47nF","C_0402_1005Metric",-22.724388,24.073766,-135.000000,bottom
"C61","DNP","C_0402_1005Metric",-12.551857,23.386179,-135.000000,bottom
"C62","47nF","C_0402_1005Metric",-17.352498,32.373220,45.000000,bottom
"C63","10nF","C_0402_1005Metric",-17.625300,24.362831,-45.000000,bottom
"C64","47nF","C_0402_1005Metric",-24.870670,30.512610,135.000000,bottom
"C65","220nF","C_0402_1005Metric",-21.934126,33.413233,45.000000,bottom
"C66","47nF","C_0402_1005Metric",-23.218302,32.164977,135.000000,bottom
"C67","DNP","C_0402_1005Metric",-15.876857,21.411179,-135.000000,bottom
"C68","47nF","C_0402_1005Metric",-17.937912,33.619778,45.000000,bottom
"C69","1pF","C_0402_1005Metric",-14.551857,21.411179,-135.000000,bottom
"C70","100nF","C_0402_1005Metric",37.348000,127.807500,-90.000000,bottom
"C71","100nF","C_0402_1005Metric",1.098000,135.900000,-0.000000,bottom
"C72","100nF","C_0402_1005Metric",-45.702000,124.007500,-0.000000,bottom
"D1","Green","D-1206",-1.202000,121.700000,180.000000,bottom
"D2","Orange","D-1206",-1.202000,124.100000,180.000000,bottom
"D3","SS13FL","D_SOD-123F",18.998000,120.050000,-0.000000,bottom
"D4","Yellow","D-1206",-1.202000,126.500000,180.000000,bottom
"D5"," ESD5Z6.0T5G","SOD-523-numbered-pads",29.048000,123.100000,-90.000000,bottom
"D6"," ESD5Z6.0T5G","SOD-523-numbered-pads",27.548000,123.100000,-90.000000,bottom
"D7"," ESD5Z6.0T5G","SOD-523-numbered-pads",25.148000,123.200000,-90.000000,bottom
"D8"," ESD5Z6.0T5G","SOD-523-numbered-pads",37.198000,120.050000,-90.000000,bottom
"D9"," ESD5Z6.0T5G","SOD-523-numbered-pads",37.198000,115.950000,-90.000000,bottom
"D10"," ESD5Z6.0T5G","SOD-523-numbered-pads",-2.450959,35.901041,45.000000,bottom
"D11"," ESD5Z6.0T5G","SOD-523-numbered-pads",6.348000,36.207500,45.000000,bottom
"D12"," ESD5Z6.0T5G","SOD-523-numbered-pads",7.398000,35.157500,45.000000,bottom
"D13"," ESD5Z6.0T5G","SOD-523-numbered-pads",-1.402000,34.850000,45.000000,bottom
"D14"," ESD5Z6.0T5G","SOD-523-numbered-pads",-4.303041,34.048959,45.000000,bottom
"FID4","Fiducial","Fiducial_1mm_Mask2mm",46.500000,113.000000,-0.000000,bottom
"FID5","Fiducial","Fiducial_1mm_Mask2mm",-42.500000,123.000000,-0.000000,bottom
"FID6","Fiducial","Fiducial_1mm_Mask2mm",25.000000,35.000000,-0.000000,bottom
"J1","532610271","Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal",7.998000,118.375000,90.000000,bottom
"J2","TYPE-C3","jing-usb-c-lcsc-C167321",28.298000,126.800000,-0.000000,bottom
"J3","USB-A-10mm-flangeless","USB-A-short-body",-28.302000,124.550000,-0.000000,bottom
"J4","AFC07-S40ECA-00","AFC07x40-1MP_P0.5mm_Horizontal_reverse_pinout",-1.852000,103.315000,-90.000000,bottom
"J5","PJ-320D","Jack_3.5mm_PJ320D_Horizontal_strengthening-vias",42.748000,120.475000,-90.000000,bottom
"J6","2x03-socket-2.54-through-board","PinSocket_2x03_P2.54mm_Through-Board-Mating",0.005000,29.282000,-0.000000,bottom
"J7","TF-15x15","microSD_HC_Sofng_TF-15",48.798000,93.400000,-90.000000,bottom
"J8","DNP","SMA_Amphenol_132134-10_Vertical",-7.502000,21.282500,-0.000000,bottom
"J9","532610271","Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal",0.298000,21.107500,-90.000000,bottom
"L1","10nH","L_0402_1005Metric",-15.252000,29.400000,-135.000000,bottom
"L2","12nH","L_0402_1005Metric",-15.746729,25.232219,-45.000000,bottom
"L3","15nH","L_0402_1005Metric",-16.519031,26.669060,45.000000,bottom
"L4","12nH","L_0402_1005Metric",-13.959658,24.792187,45.000000,bottom
"L5","7.5nH","L_0402_1005Metric",-13.025712,28.061000,-45.000000,bottom
"L6","18nH","L_0402_1005Metric",-10.977000,28.157500,45.000000,bottom
"L7","12nH","L_0402_1005Metric",-14.402000,26.600000,-45.000000,bottom
"L8","12nH","L_0402_1005Metric",-13.226857,24.043232,-135.000000,bottom
"L9","12nH","L_0402_1005Metric",-14.652000,19.982500,45.000000,bottom
"LED1","SK6812SIDE-A-RVS","LED_SK6812SIDE-A",-49.702000,82.000000,90.000000,bottom
"LED2","SK6812SIDE-A-RVS","LED_SK6812SIDE-A",-40.802000,47.300000,90.000000,bottom
"LED3","SK6812SIDE-A-RVS","LED_SK6812SIDE-A",-23.002000,20.300000,90.000000,bottom
"LED4","SK6812SIDE-A-RVS","LED_SK6812SIDE-A",22.998000,20.300000,-90.000000,bottom
"LED5","SK6812SIDE-A-RVS","LED_SK6812SIDE-A",40.798000,47.300000,-90.000000,bottom
"LED6","SK6812SIDE-A-RVS","LED_SK6812SIDE-A",49.698000,82.000000,-90.000000,bottom
