Ref,Val,Package,PosX,PosY,Rot,Side
"BATT1","~","Batt_375080_1500mAh",-0.002000,70.000000,0.000000,top
"DISP1","Z280IT008","Z280IT009",-3.199500,103.315000,90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",-40.800000,54.800000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",14.200000,132.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",27.200000,34.300000,0.000000,top
"GRAPHIC1","~","tr23-r1-svg2sz",19.399800,67.315000,0.000000,top
"GRAPHIC2","~","tr23-r2-svg2sz-back",19.399800,67.315000,0.000000,top
"S4","Orange","SW_SPST_TACT-6x6-no-silk",-42.875000,106.740000,0.000000,top
"S5","K1-5202UA-03","SW_JS1400BFQ",-42.875000,93.165000,45.000000,top
"S6","Orange","SW_SPST_TACT-6x6-no-silk",42.875000,106.740000,0.000000,top
"S7","Orange","SW_SPST_TACT-6x6-no-silk",42.875000,93.165000,0.000000,top
